# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 183K of event 'cycles:ppp'
# Event count (approx.): 186916144949
#
# Overhead  Command  Shared Object            Symbol                                                                                                                                            
# ........  .......  .......................  ..................................................................................................................................................
#
     0.00%  gmx      libgromacs.so.5.0.0      [.] sum_epot
     0.00%  gmx      libgromacs.so.5.0.0      [.] haveCpuBondeds
     0.00%  gmx      [kernel.kallsyms]        [k] find_busiest_group
     0.00%  gmx      libgromacs.so.5.0.0      [.] add_ebin_indexed
     0.00%  gmx      [kernel.kallsyms]        [k] account_entity_enqueue
     0.00%  gmx      libgromacs.so.5.0.0      [.] nbnxn_get_atom_range@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] reset_ebin_sums@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] init_enxframe
     0.00%  gmx      [kernel.kallsyms]        [k] _raw_read_lock
     0.00%  gmx      [kernel.kallsyms]        [k] balance_dirty_pages_ratelimited
     0.00%  gmx      [kernel.kallsyms]        [k] pty_write
     0.00%  gmx      libc-2.27.so             [.] _IO_do_write@@GLIBC_2.2.5
     0.00%  gmx      [kernel.kallsyms]        [k] __fget
     0.00%  gmx      libgromacs.so.5.0.0      [.] calc_vir@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx::EnergyOutput::addDataAtEnergyStep
     0.00%  gmx      [kernel.kallsyms]        [k] __fget_light
     0.00%  gmx      [kernel.kallsyms]        [k] __queue_work
     0.00%  gmx      libgromacs.so.5.0.0      [.] haveEwaldSurfaceContribution
     0.00%  gmx      [kernel.kallsyms]        [k] kmem_cache_alloc
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx::EnergyOutput::printHeader
     0.00%  gmx      libgromacs.so.5.0.0      [.] mdoutf_get_fp_ene
     0.00%  gmx      libgromacs.so.5.0.0      [.] clearForceBuffer
     0.00%  gmx      libgromacs.so.5.0.0      [.] nbnxn_atomdata_t::resizeForceBuffers@plt
     0.00%  gmx      [kernel.kallsyms]        [k] raise_softirq
     0.00%  gmx      libgromacs.so.5.0.0      [.] 0x0000000000194db8
     0.00%  gmx      libgromacs.so.5.0.0      [.] wallcycle_sub_start@plt
     0.00%  gmx      libc-2.27.so             [.] _IO_fflush
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx_fio_doe_double@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx_omp_nthreads_get@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx_fio_doe_double
     0.00%  gmx      libgromacs.so.5.0.0      [.] PairlistSets::construct
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx::Constraints::Impl::apply@plt
     0.00%  gmx      libc-2.27.so             [.] _IO_default_xsputn
     0.00%  gmx      [kernel.kallsyms]        [k] note_gp_changes
     0.00%  gmx      [kernel.kallsyms]        [k] radix_tree_lookup_slot
     0.00%  gmx      libc-2.27.so             [.] __libc_alloca_cutoff
     0.00%  gmx      [kernel.kallsyms]        [k] tick_sched_timer
     0.00%  gmx      [kernel.kallsyms]        [k] update_fast_timekeeper
     0.00%  gmx      [kernel.kallsyms]        [k] do_page_fault
     0.00%  gmx      [kernel.kallsyms]        [k] rb_erase
     0.00%  gmx      [kernel.kallsyms]        [k] cpuacct_account_field
     0.00%  gmx      libc-2.27.so             [.] __mpn_lshift
     0.00%  gmx      [kernel.kallsyms]        [k] ext4_mark_iloc_dirty
     0.00%  gmx      [kernel.kallsyms]        [k] rebalance_domains
     0.00%  gmx      [kernel.kallsyms]        [k] rb_insert_color
     0.00%  gmx      libgromacs.so.5.0.0      [.] calc_pres
     0.00%  gmx      [kernel.kallsyms]        [k] timekeeping_update
     0.00%  gmx      libgromacs.so.5.0.0      [.] AtomProxy::residueNumber
     0.00%  gmx      [kernel.kallsyms]        [k] __mod_node_page_state
     0.00%  gmx      [kernel.kallsyms]        [k] tick_do_update_jiffies64.part.11
     0.00%  gmx      libgromacs.so.5.0.0      [.] AtomIterator::operator++
     0.00%  gmx      libgromacs.so.5.0.0      [.] gmx_step_str
     0.00%  gmx      [kernel.kallsyms]        [k] timerqueue_add
     0.00%  gmx      libgromacs.so.5.0.0      [.] low_set_pbc
     0.00%  gmx      [kernel.kallsyms]        [k] __cgroup_account_cputime_field
     0.00%  gmx      libgromacs.so.5.0.0      [.] nonbonded_verlet_t::dispatchNonbondedKernel@plt
     0.00%  gmx      libgromacs.so.5.0.0      [.] PairlistSets::construct@plt
     0.00%  gmx      [kernel.kallsyms]        [k] enqueue_hrtimer
     0.00%  gmx      [kernel.kallsyms]        [k] __intel_pmu_disable_all
     0.00%  gmx      [kernel.kallsyms]        [k] wait_for_stable_page
     0.00%  gmx      [kernel.kallsyms]        [k] __ext4_get_inode_loc
     0.00%  gmx      [kernel.kallsyms]        [k] irq_exit
     0.00%  gmx      libgromacs.so.5.0.0      [.] set_pbc_dd
     0.00%  gmx      libgromacs.so.5.0.0      [.] ePBC2npbcdim@plt
     0.00%  gmx      libc-2.27.so             [.] __sprintf_chk
     0.00%  gmx      [kernel.kallsyms]        [k] grab_cache_page_write_begin
     0.00%  gmx      [kernel.kallsyms]        [k] aa_file_perm
