# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 481K of event 'cycles:ppp'
# Event count (approx.): 477625636818
#
# Overhead  Command  Shared Object                         Symbol                                                                                                                  
# ........  .......  ....................................  ........................................................................................................................
#
     0.00%  gmx      [kernel.kallsyms]                     [k] nv_alloc_pages
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv018278rm
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv032101rm
     0.00%  gmx      [kernel.kallsyms]                     [k] native_flush_tlb_one_user
     0.00%  gmx      [kernel.kallsyms]                     [k] _raw_spin_unlock_irqrestore
     0.00%  gmx      libc-2.27.so                          [.] _int_malloc
     0.00%  gmx      [kernel.kallsyms]                     [k] pfn_range_is_mapped
     0.00%  gmx      [kernel.kallsyms]                     [k] nvidia_poll
     0.00%  gmx      libc-2.27.so                          [.] calloc@plt
     0.00%  gmx      libc-2.27.so                          [.] __libc_calloc
     0.00%  gmx      libcufft.so.9.0.176                   [.] 0x0000000000217e32
     0.00%  gmx      [kernel.kallsyms]                     [k] n_tty_write
     0.00%  gmx      [kernel.kallsyms]                     [k] sys_futex
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000116bbc
     0.00%  gmx      [kernel.kallsyms]                     [k] error_entry
     0.00%  gmx      libcuda.so.390.116                    [.] cuMemcpyDtoHAsync_v2
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002985e0
     0.00%  gmx      libc-2.27.so                          [.] @plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8ec1
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026fa61
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv021182rm
     0.00%  gmx      [kernel.kallsyms]                     [k] native_queued_spin_lock_slowpath
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000f8d6a
     0.00%  gmx      [kernel.kallsyms]                     [k] get_futex_key
     0.00%  gmx      [kernel.kallsyms]                     [k] __acct_update_integrals
     0.00%  gmx      libgromacs.so.5.0.0                   [.] calc_vir
     0.00%  gmx      [kernel.kallsyms]                     [k] lapic_next_deadline
     0.00%  gmx      [kernel.kallsyms]                     [k] put_prev_entity
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000019e140
     0.00%  gmx      [kernel.kallsyms]                     [k] hash_futex
     0.00%  gmx      [kernel.kallsyms]                     [k] cpu_needs_another_gp
     0.00%  gmx      [kernel.kallsyms]                     [k] _nv031303rm
     0.00%  gmx      libgromacs.so.5.0.0                   [.] Nbnxm::gpu_try_finish_task
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000270518
     0.00%  gmx      [kernel.kallsyms]                     [k] irq_enter
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000001e2fc4
     0.00%  gmx      libgromacs.so.5.0.0                   [.] cu_copy_D2H@plt
     0.00%  gmx      libgromacs.so.5.0.0                   [.] dih_angle@plt
     0.00%  gmx      libcuda.so.390.116                    [.] 0x0000000000298500
     0.00%  gmx      [kernel.kallsyms]                     [k] sys_getpid
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000002705eb
     0.00%  gmx      [kernel.kallsyms]                     [k] rcu_irq_exit
     0.00%  gmx      [kernel.kallsyms]                     [k] alloc_pages_current
     0.00%  gmx      libcuda.so.390.116                    [.] 0x000000000026f94d
     0.00%  gmx      libcuda.so.390.116                    [.] 0x00000000000e25be
